SEASON_ID,Player_ID,Game_ID,MIN,FGM,FGA,FG3A,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FG_PCT,FG3M,FG3_PCT,FTM,PIE
22013,2544,0021300279,33,7,17,4,8,0.75,0,5,5,2,3,0,1,2,21,-21,0.412,1,0.25,6,0.169
22013,2544,0021300264,37,8,15,5,8,0.625,3,2,5,6,2,1,6,2,23,-6,0.533,2,0.4,5,0.134
22013,2544,0021300252,38,8,13,3,10,0.9,0,5,5,4,1,1,3,0,26,-4,0.615,1,0.333,9,0.194
22013,2544,0021300230,36,10,17,5,6,0.667,1,5,6,3,1,1,3,2,27,3,0.588,3,0.6,4,0.264
22013,2544,0021300219,37,9,19,3,11,0.818,0,8,8,8,3,0,1,3,28,0,0.474,1,0.333,9,0.265
22013,2544,0021300205,33,11,14,4,11,1.0,0,5,5,4,1,1,4,0,35,1,0.786,2,0.5,11,0.294
22013,2544,0021300191,38,7,13,6,7,0.714,0,9,9,7,3,0,3,0,22,7,0.538,3,0.5,5,0.226
22013,2544,0021300164,29,5,11,2,11,1.0,1,5,6,7,1,1,4,0,21,23,0.455,0,0.0,11,0.203
22013,2544,0021300158,31,6,13,0,3,0.333,2,4,6,5,1,0,3,0,13,14,0.462,0,0.0,1,0.105
22013,2544,0021300136,32,13,18,0,4,1.0,1,3,4,7,1,1,3,1,30,7,0.722,0,0.0,4,0.317
22013,2544,0021300130,37,14,18,1,11,0.909,0,6,6,4,1,0,6,0,39,0,0.778,1,1.0,10,0.275
22013,2544,0021300107,30,13,21,7,6,0.5,0,3,3,2,0,0,3,0,33,14,0.619,4,0.571,3,0.236
22013,2544,0021300089,37,9,13,0,9,0.778,1,7,8,10,0,0,5,1,25,5,0.692,0,0.0,7,0.208
22013,2544,0021300070,37,6,13,3,9,0.556,0,5,5,6,1,0,4,4,18,-1,0.462,1,0.333,5,0.101
22013,2544,0021300051,36,13,20,3,8,1.0,2,6,8,8,0,1,1,2,35,3,0.65,1,0.333,8,0.343
22013,2544,0021300042,35,9,14,5,5,0.8,0,3,3,5,1,0,6,2,25,16,0.643,3,0.6,4,0.178
22013,2544,0021300028,42,11,19,2,5,0.6,1,6,7,6,2,1,5,2,26,-3,0.579,1,0.5,3,0.19
22013,2544,0021300005,37,9,17,7,4,0.75,0,4,4,13,0,0,4,3,25,-8,0.529,4,0.571,3,0.151
22013,2544,0021300002,38,5,11,1,9,0.778,0,6,6,8,1,0,2,0,17,8,0.455,0,0.0,7,0.17
22014,2544,0021401203,32,7,17,4,6,0.667,3,7,10,11,2,1,1,0,21,19,0.412,3,0.75,4,0.213
22014,2544,0021401178,26,5,14,5,9,0.444,0,3,3,7,1,0,3,1,14,1,0.357,0,0.0,4,0.084
22014,2544,0021401167,40,8,15,5,4,0.75,2,7,9,8,1,1,2,2,21,0,0.533,2,0.4,3,0.152
